제목,카테고리1,카테고리2,카테고리3,지역명,시군구명,요약
덕수궁,인문(문화/예술/역사),역사관광지,고궁,서울,중구,"사적 제124호의 덕수궁은 본디 왕궁이 아니었다. 원래 성종의 형인 월산대군(1454∼1488)의 집이었으나, 1592년 임진왜란 때 왕궁이 모두 불타서 1593년 행궁으로 사용하기 시작하였다. 선조임금은 의주로 피난갔다가 한양으로 환도한 뒤 덕수궁에서 머무른다. 선조의 뒤를 이은 광해군은 1608년 이곳 행궁에서 즉위한 후 1611년 행궁을 경운궁이라 고쳐부르고 7년동안 왕궁으로 사용하다가 1615년에 창덕궁으로 옮기면서 이곳에는 선왕인 선조의 계비인 인목 대비만을 유폐시켰다. 1618년에는 인목대비의 존호를 폐지하고, 경운궁을 "
서울 운현궁,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"운현궁은 현재 종로구 운니동에 위치한 사적 제 257호의 문화유산이다. 운현궁은 경복궁과 같은 궁궐이 아니라 왕족의 친족들이 거주하던 곳을 궁(宮)으로 부른 것 중의 하나이다. 궁(宮)은 생활의 공간이며 궐(闕)은 정치의 공간으로서 경복궁이 정치와 궁중생활이 함께 이루어진 곳이었다면, 운현궁은 왕족의 친족인 흥선대원군의 일가가 거주하고 생활하던 공간이었다. 그러나 운현궁은 조선조 말기의 역사적 사건들 대부분이 시작된 곳이며 수많은 개혁정책과 쇄국정책이 시행된 곳이었기에 그 역사적 상징성은 남다르다고 하겠다. 운현궁은 흥선대원군의 사"
경희궁,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"사적 제271호인 경희궁은 조선을 개국한 태조 이성계가 살았던 곳으로, 새문안 대궐 또는 서쪽의 궁궐이라 해서 서궐이라 불리기도 했다. 그 후 왕족의 사저로 쓰이다가 광해군 8년(1616)에 이 새문안 대궐 자리에 왕기(王氣)가 있어 이를 눌러 없애기 위해 별궁을 짓고 경덕궁이라 하였으나 인조반정으로 광해군은 축출되었으며 영조 36년(1760)에는 궁의 이름을 경희궁이라 개칭하였다. 경희궁에는 회상전, 흥정당, 집경당, 숭정전, 흥화문 등의 건축물이 있었으나, 순조 29년(1829)에 화재로 대부분이 소실되어 1831년에 중건하였다"
경복궁,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"경복궁은 1395년 태조 이성계에 의해서 새로운 조선왕조의 법궁으로 지어졌다. 경복궁은 동궐(창덕궁)이나 서궐(경희궁)에 비해 위치가 북쪽에 있어 '북궐'이라 불리기도 했다. 경복궁(사적 제117호)은 5대 궁궐 가운데 으뜸의 규모와 건축미를 자랑한다. 경복궁 근정전에서 즉위식을 가진 왕들을 보면 제2대 정종, 제4대 세종, 제6대 단종, 제7대 세조, 제9대 성종, 제11대 중종, 제13대 명종 등이다. 경복궁은 임진왜란 때 상당수의 건물이 불타 없어진 아픔을 갖고 있으며, 고종 때에 흥선대원군의 주도 아래 7,700여칸에 이르는"
창경궁,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"창경궁은 세종대왕이 상왕인 태종을 모시고자 1418년에 지은 수강궁이 그 전신이다. 이후 성종 임금 대로 와서 세조의 비 정희왕후, 덕종의 비소혜왕후, 예종의 비 안순왕후를 모시기 위해 명정전, 문정전, 통명전을 짓고 창경궁이라 명명했다. 창경궁에는 아픈 사연이 많다. 임진왜란 때 전소된 적이 있고 이괄의 난이나 병자호란 때에도 화를 입었다. 숙종 때의 인현왕후와 장희빈, 영조 때 뒤주에 갇혀 죽임을 당한 사도세자의 이야기 등이 창경궁 뜰에 묻혀있다. 사적 제 123호인 창경궁은 일제시대에 일제에 의하여 창경원이라 격하되고 동물원으"
창덕궁과 후원 [유네스코 세계문화유산],인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"창덕궁(사적122호)은 1405년 경복궁 다음으로 지어진 별궁이었다. 정궁인 경복궁의 동쪽 방면에 있다 해서 '동궐'이라고도 했다. 금천교가 세워지고(1411) 돈화문이 건립되는가 하면(1412) 조선 제 9대 성종때부터는 여러 임금들이 여기서 지내 본궁역할을 하는 궁궐이 됐다. 임진왜란 때에는 창덕궁은 불에 타고 만다. 선조가 의주로 피난을 가자 이에 화가 난 백성들이 궁궐을 방화한 것이다. 1611년 광해군에 의해 다시 지어진 궁은 자연과 인공의 조화가 잘 이루어져 많은 관광객들이 찾고 있으며 인정전, 대조전, 선정전, 낙선재 "
동십자각,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,동십자각은 광화문에서 연결되어 오는 경복궁 외궁성(外宮城)이 건춘문(建春門)을 향하여 꺾이는 부분에 세운 망루(望樓)이다. 석단(石檀)을 국초(國初)의 유구(遺構)로 추측되나 누각은 대원군 시대의 건립으로 추측된다. 규모는 적으나 조화로운 예술적 조형미로는 경복궁내 뛰어난 건축물중의 하나라고 할 수 있다. 이 건물은 궁성(宮城)의 동남 모퉁이에 세웠던 망루와 같은 돈대(墩臺) 건물의 기능을 갖고 있던 것인데 궁성 원장(垣墻)이 헐리면서 현재와 같이 길가에 독립건물같이 되었다. 이 건물은 궁성 전면 양모서리에서 궁내외를 감시할 수 있
황학정,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"황학정은 원래 광무 2년(1898) 고종의 어명으로 경희궁(慶熙宮) 회상전(會祥殿) 북쪽 담장 가까이 세웠던 궁술 연습을 위한 사정(射亭)이었다. 1922년 일제가 경성중학교를 짓기 위해 경희궁을 헐면서 경희궁내 건물들이 일반에게 불하될 때 이를 받아 사직공원 북쪽인 등과정(登科亭) 옛터인 현 위치에 이건하였다. 황학정이 있는 사직동의 등과정 자리는 한말까지 궁술 연습장으로 유명했던 곳이다. 등과정은 경복궁 서편 인왕산 기슭 옥동(玉洞)에 있던 등용정(登龍亭)·삼청동의 운용정(雲龍亭)·사직동의 대송정(大松亭, 太極亭)·누상동의 풍소"
낙선재,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"정면 6칸, 측면 2칸, 단층 팔작기와지붕의 익공(翼工)집이다. 낙선재는 본래 창경궁에 속해 있던 건물이었으나 근래에 창덕궁에 속한 것으로 취급하게 되었다. 이 건물은 헌종 12년(1846)에 건립한 것으로 본 건물에 접속된 석복헌(錫福軒)과 수강재(壽康齋) 등 3개의 건물을 총칭하여 낙선재(樂善齋)라 부르고 있다. 정문은 장락당(長樂堂)으로 낙선재 남행각(南行閣) 12칸에 설치되었다. 이 문을 들어서면 넓은 마당 뒤로 낙선재가 있다. 정면 6칸 중 우측 한 칸이 전면으로 돌출되어 누마루가 되었고 몸채는 장대석 기단 위에 방형(方形"
창덕궁 대조전,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"대조전은 왕비가 생활하던 중궁전의 건물이다. 조선 태종5년(1405)에 처음 지었으나 그 후 여러차례 불에 탔다. 현재 이 건물은 1917년 불타서, 1920년에 경복궁의 교태전을 옮겨다 다시 지은 것이다. 이 건물은 지붕에 용마루가 없는 것이 특징이다. 내부 침실은 왕과 왕비의 잠자리를 지키는 상궁의 작은 방들이 주위에 배치되어 있다. * 정면 9칸, 측면 4칸, 단층 이익공 팔작지붕 "
인정전,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"창덕궁의 정전이다. 이곳에서는 왕의 즉위식, 신하들의 하례식, 외국 사신 접견식 등 국가의 중요행사가 거행되었던 곳이다. 현재 건물은 순조4년(1804)에 복구한 것으로 조선조 말기의 건축양식을 보여준다. * 정면 5칸, 측면 4칸, 2층 팔작기와지붕"
